ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
4009822,中古マンション等,,4101,宮城県,仙台市青葉区,折立,陸前落合,21,２ＬＤＫ,60,,,,平成2年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第１四半期,未改装,,6.8750612633917
4044269,中古マンション等,,4105,宮城県,仙台市泉区,八乙女,八乙女,13,３ＬＤＫ,80,,,,平成13年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2012年第２四半期,未改装,,7.230448921378274
4009323,中古マンション等,,4102,宮城県,仙台市宮城野区,新田,東仙台,4,３ＬＤＫ,65,,,,昭和53年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第１四半期,未改装,,6.892094602690481
4027915,中古マンション等,,4103,宮城県,仙台市若林区,五橋,五橋,2,２ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,500.0,2013年第４四半期,未改装,,7.447158031342219
4032587,中古マンション等,,4105,宮城県,仙台市泉区,天神沢,泉中央,28,１Ｋ,20,,,,平成2年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2014年第１四半期,,,6.361727836017593
4014561,中古マンション等,,4103,宮城県,仙台市若林区,河原町,河原町(宮城),4,４ＬＤＫ,80,,,,,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2017年第１四半期,未改装,,7.518513939877887
4052348,中古マンション等,,4202,宮城県,石巻市,南中里,石巻,15,３ＬＤＫ,60,,,,平成6年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2006年第４四半期,,調停・競売等,6.763427993562937
4021107,中古マンション等,,4104,宮城県,仙台市太白区,長町南,長町南,2,３ＬＤＫ,65,,,,平成8年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2017年第４四半期,未改装,,7.3222192947339195
4011166,中古マンション等,,4101,宮城県,仙台市青葉区,台原,台原,2,４ＬＤＫ,105,,,,平成2年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2011年第３四半期,未改装,,7.079181246047625
4002267,中古マンション等,,4101,宮城県,仙台市青葉区,北根,台原,8,１Ｋ,15,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2016年第１四半期,未改装,,6.301029995663981
4071352,中古マンション等,,4215,宮城県,大崎市,古川稲葉,古川,29,２ＬＤＫ,45,,,,,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第３四半期,未改装,,6.491361693834273
4022568,中古マンション等,,4104,宮城県,仙台市太白区,鹿野,,,３ＬＤＫ,55,,,,昭和62年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2010年第３四半期,未改装,,6.681241237375588
4032709,中古マンション等,,4104,宮城県,仙台市太白区,泉崎,長町南,14,２ＬＤＫ,70,,,,昭和64年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第２四半期,改装済,,7.230448921378274
4023683,中古マンション等,,4102,宮城県,仙台市宮城野区,萩野町,仙台,30分?60分,３ＬＤＫ,70,,,,平成17年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第１四半期,未改装,,7.230448921378274
4020775,中古マンション等,,4104,宮城県,仙台市太白区,長町,長町一丁目,7,３ＬＤＫ,80,,,,平成15年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2018年第２四半期,未改装,,7.447158031342219
4036477,中古マンション等,,4105,宮城県,仙台市泉区,高森,泉中央,1H?1H30,３ＬＤＫ,70,,,,平成17年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2011年第３四半期,未改装,,7.278753600952829
4006908,中古マンション等,,4101,宮城県,仙台市青葉区,通町,北山(宮城),11,４ＬＤＫ,85,,,,平成13年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2014年第４四半期,未改装,,7.431363764158987
4001580,中古マンション等,,4101,宮城県,仙台市青葉区,片平,大町西公園,1,３ＬＤＫ,90,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2018年第３四半期,未改装,,7.176091259055681
4008040,中古マンション等,,4101,宮城県,仙台市青葉区,堤通雨宮町,北仙台,7,２ＬＤＫ,65,,,,昭和57年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2010年第４四半期,改装済,,6.892094602690481
4036511,中古マンション等,,4104,宮城県,仙台市太白区,茂庭台,仙台,2H?,２ＬＤＫ,65,,,,平成5年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2012年第４四半期,未改装,,6.799340549453582
4018818,中古マンション等,,4104,宮城県,仙台市太白区,郡山,長町,19,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2015年第１四半期,未改装,,6.698970004336019
4024044,中古マンション等,,4102,宮城県,仙台市宮城野区,原町,陸前原ノ町,5,１ＤＫ,30,,,,平成8年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第３四半期,,,6.681241237375588
4063848,中古マンション等,,4215,宮城県,大崎市,鳴子温泉,鳴子温泉,30分?60分,１ＬＤＫ,50,,,,昭和48年,ＲＣ,住宅,住宅,,,,都市計画区域外,,,2014年第２四半期,改装済,,6.568201724066995
4024746,中古マンション等,,4102,宮城県,仙台市宮城野区,宮城野,榴ケ岡,10,３ＬＤＫ,65,,,,平成16年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第１四半期,未改装,,7.3222192947339195
4009349,中古マンション等,,4102,宮城県,仙台市宮城野区,新田東,小鶴新田,6,３ＬＤＫ,75,,,,平成17年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2020年第１四半期,未改装,,7.431363764158987
4007848,中古マンション等,,4101,宮城県,仙台市青葉区,五橋,五橋,,２ＬＤＫ,45,,,,昭和58年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2006年第２四半期,改装済,,6.819543935541868
