ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
8008987,中古マンション等,,8201,茨城県,水戸市,東原,赤塚,30分?60分,３ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2010年第２四半期,未改装,,7.3979400086720375
8030862,中古マンション等,,8220,茨城県,つくば市,研究学園,研究学園,14,４ＬＤＫ,75,,,,平成27年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2018年第２四半期,未改装,,7.414973347970818
8013800,中古マンション等,,8208,茨城県,龍ケ崎市,佐貫町,龍ケ崎市,7,３ＬＤＫ,60,,,,昭和57年,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2020年第１四半期,未改装,,6.477121254719663
8072913,中古マンション等,,8220,茨城県,つくば市,春日,つくば,,３ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,,,,,,,,2009年第４四半期,未改装,,7.230448921378274
8067593,中古マンション等,,8219,茨城県,牛久市,牛久町,牛久,6,３ＬＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,未改装,,6.880813592280791
8022964,中古マンション等,,8217,茨城県,取手市,白山,寺原,8,３ＬＤＫ,75,,,,平成3年,ＲＣ,住宅,住宅,,,,準住居地域,60.0,200.0,2016年第２四半期,改装済,,6.968482948553935
8049577,中古マンション等,,8208,茨城県,龍ケ崎市,松ケ丘,佐貫,1H30?2H,１ＬＤＫ,50,,,,平成19年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第４四半期,未改装,,6.919078092376074
8061741,中古マンション等,,8219,茨城県,牛久市,南,牛久,7,３ＬＤＫ,70,,,,平成18年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2008年第４四半期,未改装,調停・競売等,6.9084850188786495
8037485,中古マンション等,,8221,茨城県,ひたちなか市,青葉町,勝田,16,２ＬＤＫ,55,,,,平成20年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2015年第１四半期,,,7.204119982655925
8060709,中古マンション等,,8219,茨城県,牛久市,ひたち野西,ひたち野うしく,0,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第４四半期,未改装,,7.204119982655925
8030979,中古マンション等,,8220,茨城県,つくば市,研究学園,研究学園,3,３ＬＤＫ,105,,,,平成21年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第１四半期,未改装,,7.6020599913279625
8027039,中古マンション等,,8219,茨城県,牛久市,ひたち野東,ひたち野うしく,1,３ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第３四半期,未改装,,7.3979400086720375
8064442,中古マンション等,,8219,茨城県,牛久市,ひたち野東,ひたち野うしく,5,４ＬＤＫ,85,,,,平成19年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,改装済,,7.278753600952829
8060280,中古マンション等,,8219,茨城県,牛久市,中根町,ひたち野うしく,1,２ＤＫ,60,,,,戦前,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第２四半期,,,7.278753600952829
8009115,中古マンション等,,8203,茨城県,土浦市,大和町,土浦,3,２ＬＤＫ,75,,,,平成20年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,600.0,2017年第２四半期,未改装,,7.342422680822207
8015121,中古マンション等,,8203,茨城県,土浦市,湖北,土浦,15,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2010年第３四半期,改装済,,6.886490725172482
8067590,中古マンション等,,8219,茨城県,牛久市,牛久町,牛久,5,３ＬＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,改装済,,6.903089986991944
8003336,中古マンション等,,8201,茨城県,水戸市,宮町,水戸,5,４ＬＤＫ,105,,,,平成18年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2018年第３四半期,未改装,,7.477121254719663
8066901,中古マンション等,,8235,茨城県,つくばみらい市,陽光台,みらい平,1,３ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2019年第４四半期,未改装,,7.380211241711606
8078023,中古マンション等,,8224,茨城県,守谷市,ひがし野,守谷,14,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2007年第３四半期,未改装,,7.414973347970818
8026396,中古マンション等,,8201,茨城県,水戸市,南町,水戸,7,２ＬＤＫ,50,,,,平成7年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第３四半期,改装済,,7.079181246047625
8028207,中古マンション等,,8203,茨城県,土浦市,荒川沖東,荒川沖,4,３ＬＤＫ,70,,,,平成18年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2007年第３四半期,未改装,,7.380211241711606
8002016,中古マンション等,,8201,茨城県,水戸市,大工町,水戸,26,２ＬＤＫ,50,,,,平成25年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2019年第１四半期,,,7.176091259055681
