ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
9004139,中古マンション等,,9201,栃木県,宇都宮市,中今泉,宇都宮,20,３ＬＤＫ,65,,,,平成14年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2015年第１四半期,未改装,,7.2552725051033065
9005349,中古マンション等,,9201,栃木県,宇都宮市,東簗瀬,宇都宮,28,３ＤＫ,40,,,,平成3年,ＲＣ,,住宅,,,,準工業地域,60.0,200.0,2019年第３四半期,改装済,,6.653212513775344
9018015,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,9,１Ｒ,20,,,,昭和63年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2011年第１四半期,未改装,,6.230448921378274
9005926,中古マンション等,,9201,栃木県,宇都宮市,双葉,江曽島,10,２ＤＫ,40,,,,平成2年,ＲＣ,,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2019年第２四半期,未改装,,6.653212513775344
9023741,中古マンション等,,9208,栃木県,小山市,城東,小山,24,４ＬＤＫ,70,,,,平成7年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2019年第３四半期,未改装,,6.954242509439325
9018699,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,12,３ＬＤＫ,65,,,,,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第４四半期,未改装,,7.447158031342219
9061096,中古マンション等,,9208,栃木県,小山市,駅東通り,小山,5,,30,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第１四半期,未改装,,6.57978359661681
9025713,中古マンション等,,9208,栃木県,小山市,東城南,小山,30分?60分,３ＬＤＫ,60,,,,平成3年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第２四半期,改装済,,7.0
9036478,中古マンション等,,9213,栃木県,那須塩原市,埼玉,黒磯,1H?1H30,２ＤＫ,40,,,,平成7年,ＲＣ,住宅,住宅,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2017年第１四半期,改装済,,6.431363764158987
9010599,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,30分?60分,３ＬＤＫ,80,,,,平成4年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第２四半期,改装済,,7.079181246047625
9005154,中古マンション等,,9201,栃木県,宇都宮市,東今泉,宇都宮,24,２ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2019年第１四半期,未改装,,7.342422680822207
9001964,中古マンション等,,9201,栃木県,宇都宮市,桜,東武宇都宮,18,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第３四半期,,,7.3222192947339195
9040245,中古マンション等,,9202,栃木県,足利市,永楽町,足利,4,３ＬＤＫ,60,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,未改装,,7.113943352306837
9019935,中古マンション等,,9202,栃木県,足利市,通,足利市,6,３ＬＤＫ,55,,,,平成7年,ＳＲＣ,住宅,住宅,,,,,,,2014年第４四半期,未改装,,6.7558748556724915
9000164,中古マンション等,,9201,栃木県,宇都宮市,石井町,宇都宮,30分?60分,２ＬＤＫ,65,,,,平成13年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2015年第４四半期,,,7.230448921378274
9006432,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,6,１Ｋ,10,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第３四半期,改装済,,6.176091259055681
9024157,中古マンション等,,9208,栃木県,小山市,城山町,小山,7,３ＬＤＫ,65,,,,,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,,,7.079181246047625
9003726,中古マンション等,,9201,栃木県,宇都宮市,天神,宇都宮,18,４ＬＤＫ,85,,,,平成2年,ＳＲＣ,,住宅,,,,近隣商業地域,80.0,200.0,2019年第１四半期,未改装,,7.041392685158225
9000215,中古マンション等,,9201,栃木県,宇都宮市,泉が丘,宇都宮,26,２ＬＤＫ,65,,,,昭和62年,ＲＣ,,その他,,,,第１種住居地域,60.0,200.0,2018年第４四半期,未改装,,6.491361693834273
9037121,中古マンション等,,9213,栃木県,那須塩原市,塩原,西那須野,2H?,１ＤＫ,30,,,,平成4年,ＳＲＣ,,住宅,,,,商業地域,80.0,400.0,2018年第１四半期,未改装,,5.8750612633917
9024137,中古マンション等,,9208,栃木県,小山市,城山町,小山,6,４ＬＤＫ,85,,,,平成15年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2017年第４四半期,未改装,,7.2552725051033065
9018693,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,9,１Ｋ,20,,,,昭和62年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第４四半期,未改装,,6.0
9006928,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,16,３ＬＤＫ,70,,,,平成18年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2017年第４四半期,改装済,,7.3979400086720375
9000434,中古マンション等,,9201,栃木県,宇都宮市,今泉町,宇都宮,19,,60,,,,平成7年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2017年第１四半期,未改装,,7.079181246047625
9012742,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,東武宇都宮,10,３ＬＤＫ,70,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,700.0,2010年第４四半期,未改装,,7.531478917042255
9007950,中古マンション等,,9201,栃木県,宇都宮市,三番町,宇都宮,10,１Ｋ,15,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,改装済,,6.2552725051033065
9021058,中古マンション等,,9202,栃木県,足利市,鹿島町,山前,1,４ＬＤＫ,55,,,,,ＲＣ,住宅,,,,,,,,2011年第１四半期,未改装,,6.3979400086720375
9016445,中古マンション等,,9202,栃木県,足利市,伊勢町,足利,5,２ＤＫ,50,,,,,ＳＲＣ,住宅,,,,,,,,2010年第２四半期,改装済,,6.707570176097937
9006654,中古マンション等,,9201,栃木県,宇都宮市,宮みらい,宇都宮,3,３ＬＤＫ,70,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第２四半期,改装済,,7.505149978319906
9010233,中古マンション等,,9201,栃木県,宇都宮市,小幡,東武宇都宮,11,３ＬＤＫ,85,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第１四半期,未改装,,7.3222192947339195
9054102,中古マンション等,,9208,栃木県,小山市,花垣町,小山,19,２ＬＤＫ,45,,,,昭和49年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第２四半期,未改装,,6.431363764158987
9065850,中古マンション等,,9213,栃木県,那須塩原市,北弥六,那須塩原,12,３ＬＤＫ,65,,,,平成20年,ＲＣ,住宅,,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2012年第３四半期,未改装,,7.204119982655925
9000157,中古マンション等,,9201,栃木県,宇都宮市,石井町,宇都宮,30分?60分,４ＬＤＫ,85,,,,平成10年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2016年第１四半期,未改装,,7.146128035678238
9066402,中古マンション等,,9213,栃木県,那須塩原市,塩原,西那須野,2H?,１ＬＤＫ,40,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第２四半期,未改装,調停・競売等,5.929418925714293
9009161,中古マンション等,,9202,栃木県,足利市,田中町,足利市,14,２ＬＤＫ,50,,,,昭和63年,ＳＲＣ,,住宅,,,,工業地域,60.0,200.0,2018年第２四半期,,,6.982271233039568
9017019,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,6,１Ｋ,20,,,,昭和62年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第２四半期,未改装,,6.2552725051033065
9041803,中古マンション等,,9202,栃木県,足利市,田中町,足利市,11,３ＬＤＫ,60,,,,平成7年,ＳＲＣ,住宅,,,,,工業地域,60.0,200.0,2012年第１四半期,未改装,,6.812913356642856
9010717,中古マンション等,,9201,栃木県,宇都宮市,城東,宇都宮,18,４ＬＤＫ,100,,,,平成21年,ＲＣ,住宅,,,,,準住居地域,60.0,200.0,2014年第１四半期,未改装,,7.431363764158987
9032396,中古マンション等,,9201,栃木県,宇都宮市,元今泉,,,３ＬＤＫ,70,,,,平成17年,ＲＣ,住宅,,,,,,,,2008年第３四半期,未改装,,7.361727836017593
9002553,中古マンション等,,9201,栃木県,宇都宮市,宿郷,宇都宮,6,３ＬＤＫ,70,,,,平成20年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2018年第３四半期,未改装,,7.361727836017593
9001931,中古マンション等,,9201,栃木県,宇都宮市,桜,東武宇都宮,20,,75,,,,,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第２四半期,,,7.278753600952829
9003919,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,30分?60分,２ＬＤＫ,55,,,,平成4年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第４四半期,改装済,,6.944482672150168
9000877,中古マンション等,,9201,栃木県,宇都宮市,小幡,東武宇都宮,11,３ＬＤＫ,70,,,,平成17年,ＳＲＣ,,住宅,,,,商業地域,80.0,400.0,2018年第１四半期,未改装,,7.2552725051033065
9055141,中古マンション等,,9204,栃木県,佐野市,富岡町,佐野,14,３ＤＫ,55,,,,昭和54年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第１四半期,改装済,,6.653212513775344
9005227,中古マンション等,,9201,栃木県,宇都宮市,東宿郷,宇都宮,5,３ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第４四半期,未改装,,7.414973347970818
9003910,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,29,３ＬＤＫ,75,,,,平成4年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第３四半期,改装済,,7.041392685158225
9023936,中古マンション等,,9208,栃木県,小山市,城東,小山,10,３ＬＤＫ,70,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,,,2015年第２四半期,改装済,,7.361727836017593
9033078,中古マンション等,,9208,栃木県,小山市,駅東通り,小山,6,３ＬＤＫ,75,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,未改装,,7.301029995663981
9036434,中古マンション等,,9201,栃木県,宇都宮市,中今泉,宇都宮,26,３ＬＤＫ,60,,,,平成13年,ＳＲＣ,住宅,,,,,準住居地域,60.0,200.0,2009年第１四半期,未改装,,7.146128035678238
9006383,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,5,１Ｋ,20,,,,昭和64年,,住宅,住宅,,,,商業地域,80.0,400.0,2017年第４四半期,改装済,,6.3979400086720375
9067303,中古マンション等,,9213,栃木県,那須塩原市,西朝日町,西那須野,5,２ＬＤＫ,55,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第１四半期,未改装,,6.944482672150168
9008103,中古マンション等,,9202,栃木県,足利市,朝倉町,足利市,14,１ＬＤＫ,60,,,,平成19年,ＲＣ,住宅,その他,,,,工業地域,60.0,200.0,2015年第１四半期,未改装,,7.146128035678238
9012659,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,宇都宮,15,２ＤＫ,60,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第４四半期,未改装,,7.462397997898956
9005949,中古マンション等,,9201,栃木県,宇都宮市,双葉,東武宇都宮,8,,60,,,,,,,住宅,,,,,,,2018年第４四半期,,,6.8750612633917
9012646,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,宇都宮,15,３ＬＤＫ,90,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第４四半期,未改装,,7.707570176097937
9006411,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,8,４ＬＤＫ,85,,,,平成12年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2016年第４四半期,,,7.301029995663981
9022800,中古マンション等,,9208,栃木県,小山市,駅東通り,小山,8,４ＬＤＫ,100,,,,平成18年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2015年第４四半期,改装済,,7.447158031342219
