ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
44019994,中古マンション等,,44201,大分県,大分市,西春日町,大分,18,３ＬＤＫ,85,,,,平成10年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2014年第３四半期,未改装,,7.2552725051033065
44038400,中古マンション等,,44202,大分県,別府市,石垣東,別府(大分),30分?60分,３ＬＤＫ,60,,,,平成5年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第３四半期,未改装,,6.698970004336019
44031588,中古マンション等,,44201,大分県,大分市,西新地,牧(大分),30分?60分,４ＬＤＫ,85,,,,平成10年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第１四半期,未改装,,6.986771734266245
44020865,中古マンション等,,44201,大分県,大分市,南春日町,大分,15,３ＬＤＫ,65,,,,昭和64年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第２四半期,未改装,,7.079181246047625
44035003,中古マンション等,,44201,大分県,大分市,大字三芳,大分,30分?60分,４ＬＤＫ,90,,,,平成14年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,未改装,,7.3222192947339195
44031984,中古マンション等,,44201,大分県,大分市,南春日町,大分,13,４ＬＤＫ,70,,,,平成11年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2013年第２四半期,未改装,,7.079181246047625
44038837,中古マンション等,,44202,大分県,別府市,餅ケ浜町,別府(大分),25,２ＤＫ,75,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第２四半期,未改装,,7.176091259055681
44003684,中古マンション等,,44201,大分県,大分市,中鶴崎,鶴崎,6,２Ｋ,30,,,,平成5年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,改装済,,6.380211241711606
44034760,中古マンション等,,44201,大分県,大分市,大字古国府,古国府,1,４ＬＤＫ,90,,,,昭和64年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第１四半期,未改装,,6.991226075692495
44024659,中古マンション等,,44202,大分県,別府市,石垣東,別府大学,21,４ＬＤＫ,120,,,,平成15年,ＳＲＣ,住宅,,,,,,,,2011年第３四半期,未改装,,7.301029995663981
