ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
10046345,中古マンション等,,10202,群馬県,高崎市,元紺屋町,高崎(ＪＲ),12,１ＤＫ,25,,,,平成5年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,未改装,,6.518513939877887
10031335,中古マンション等,,10202,群馬県,高崎市,高砂町,高崎(ＪＲ),16,４ＬＤＫ,105,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第１四半期,改装済,,7.146128035678238
10026018,中古マンション等,,10201,群馬県,前橋市,天川原町,前橋,19,２ＬＤＫ,60,,,,平成16年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第２四半期,未改装,,7.079181246047625
10003030,中古マンション等,,10201,群馬県,前橋市,西片貝町,片貝,6,１ＤＫ,35,,,,平成4年,ＲＣ,住宅,住宅,,,,市街化調整区域,70.0,200.0,2018年第４四半期,未改装,,6.477121254719663
10008131,中古マンション等,,10201,群馬県,前橋市,西片貝町,片貝,8,２ＬＤＫ,60,,,,平成4年,ＲＣ,住宅,,,,,市街化調整区域,70.0,200.0,2010年第１四半期,未改装,調停・競売等,6.518513939877887
10024106,中古マンション等,,10204,群馬県,伊勢崎市,中央町,新伊勢崎,3,３ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2010年第４四半期,未改装,,7.230448921378274
10016244,中古マンション等,,10204,群馬県,伊勢崎市,中央町,新伊勢崎,3,２ＬＤＫ,55,,,,平成19年,ＲＣ,,住宅,,,,近隣商業地域,80.0,200.0,2018年第４四半期,未改装,,7.113943352306837
10018369,中古マンション等,,10202,群馬県,高崎市,上佐野町,高崎(ＪＲ),30分?60分,３ＬＤＫ,65,,,,平成10年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第２四半期,未改装,,7.041392685158225
10000941,中古マンション等,,10201,群馬県,前橋市,表町,前橋,6,２ＬＤＫ,55,,,,昭和62年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第２四半期,,,6.799340549453582
10006920,中古マンション等,,10202,群馬県,高崎市,倉賀野町,倉賀野,4,２ＬＤＫ,60,,,,平成5年,ＳＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2016年第２四半期,未改装,,6.977723605288848
10002384,中古マンション等,,10201,群馬県,前橋市,昭和町,前橋,30分?60分,３ＬＤＫ,65,,,,平成2年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第１四半期,改装済,,6.9084850188786495
10016235,中古マンション等,,10202,群馬県,高崎市,稲荷町,高崎問屋町,14,４ＬＤＫ,70,,,,平成4年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第４四半期,改装済,,7.041392685158225
